1,my daughter has two cats,ako anak nga babayi kay naay duha ka iring
2,my son is a student,ako anak nga lalaki kay studyante
3,my brother has one son,ako igsuon nga lalaki ky naay usa ka anak nga lalaki
4,this is my house,ako ni balay
5,my name is Maya,ako pangalan kay Maya
6,my house is white,ang ako balay kay puti
7,our dream is to visit Paris,ang amo damgo kay mubisita sa Paris
8,her daughter is a student,ang iya anak nga babayi kay studyante
9,his hobby is reading books,ang iya lingaw kay magbasa ug libro
10,his sisters are young,ang iya mga igsuon nga babayi ky bata pa
11,his brothers are young,ang iya mga igsuon nga lalaki ky bata pa
12,where do you live?,asa ka nagpuyo?
13,Where is the airport?,asa man ang paluparan?
14,don''t leave me' , 'ayaw ko biya-e
15,I don''t speak French,di ko musulti ug French
16,their house is not far,di man layo ang ila balay
17,we will not come late,di mi muabot nga ulhi
18,we will not come late,Di mi muabot nga ulhi
19,can''t she play chess?,di siya kaduwa ug chess?
20,he cannot see us,di siya kita nato
21,this is not the correct phrase,dili ni mao nga sinultian
22,Go straight,diretso lang
23,I like our breakfast,ganahan ko sa amo pamahaw
24,I want a sandwich without onions,ganahan ko ug pan nga naay palaman nga walay sibuyas
25,they visited her yesterday,gibisita siya nila gahapon
26,he gave them food,gihatagaan niya sila ug pagkaon
27,did you read the third book?,ima ba gibasa ang ikatulo nga libro?
28,your brother lives here,imu igsuon nga lalaki kay nagpuyo diri
29,your country is big,imu nasud kay dako
30,her mother cooks for us,iya inahan kay nagluto para namo
31,those stars are shiny,kadtong mga bituon kay sinaw
32,that restaurant is far,kana nga kan-anan kay layo
33,do you understand me now?,kasabot naka nako karon?
34,these apples are delicious,kini nga mga mansanas kay lami
35,Turn right,liko sa tuo
36,Turn left,liko sa wa
37,This is very expensive,mahal ni kaayo
38,does she speak Chinese?,makastorya siya ug Chinese?
39,can she help us?,makatabang ba na siya nato?
40,Can you help me?,makatabang ka nako?
41,we are happy here,malipayon mi diri
42,they are happy now,malipayon na sila karon
43,this is my second lesson,mao ni ako ikaduha nga leksyon
44,he is taller than her,mas taas pa siya kaysa niya
45,she can speak German,maskasulti siya ug German
46,new books are expensive,mga bago nga libro kay mahal
47,I am your friend,migo man ko nimu
48,I eat without a knife,mukaon ko nga walay kutsilyo
49,I speak one language,mustorya ko ug usa ka linguahe
50,we speak three languages,mustorya mi ug tulo ka linguahe
51,she speaks seven languages,musulti siya ug pito ka linguahe
